Kolor,Correct-Color,Wrong-Color,Non-Color,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V,No-Square
White,663,6,439,1108,176,117,255,17,4,29,413
Blue,544,0,299,843,116,255,255,101,58,21,261
Red,549,1,235,785,6,242,255,166,73,36,177
Yellow,1073,17,20,1110,106,236,255,21,25,86,19
Green,676,46,147,869,97,235,209,38,52,26,147
Orange,617,117,70,804,21,255,255,108,45,22,70
None,0,0,0,0,-1,-1,-1,256,256,256,0
