Kolor,Correct,Wrong,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V
White,102,48,150,150,145,255,0,0,20
Blue,150,0,150,118,255,226,106,122,30
Red,31,29,60,179,196,128,0,41,17
Yellow,101,19,120,32,146,255,23,113,139
Green,127,53,180,90,255,196,33,40,14
Orange,105,45,150,178,255,255,2,32,35
