Kolor,Correct-Color,Wrong-Color,Non-Color,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V,No-Square
White,984,85,70,1139,168,117,255,90,4,45,23
Blue,366,2,480,848,116,255,255,9,48,31,450
Red,404,33,352,789,10,255,255,120,81,36,299
Yellow,812,5,314,1131,103,234,255,21,28,38,42
Green,556,10,315,881,97,235,233,40,50,18,98
Orange,659,126,50,835,20,255,255,120,49,37,37
None,0,0,0,0,-1,-1,-1,256,256,256,0
