Kolor,Correct-Color,Wrong-Color,Non-Color,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V,No-Square
White,737,8,334,1079,173,111,255,1,27,88,329
Blue,754,34,297,1085,117,255,255,104,65,28,161
Red,684,109,294,1087,6,239,250,105,36,64,176
Yellow,988,112,28,1128,116,185,255,20,40,100,24
Green,830,254,24,1108,99,237,248,5,27,39,24
Orange,878,89,138,1105,15,239,255,173,15,102,24
None,0,0,0,0,-1,-1,-1,256,256,256,0
