Kolor,Correct,Wrong,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V
White,150,0,150,122,83,255,90,9,106
Blue,120,0,120,118,255,198,108,127,36
Red,14,76,90,178,225,251,0,122,117
Yellow,63,147,210,98,255,255,21,14,72
Green,104,16,120,96,230,131,50,35,45
Orange,82,38,120,178,199,255,0,34,67
