Kolor,Correct-Color,Wrong-Color,Non-Color,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V,No-Square
White,1000,39,100,1139,167,117,255,84,4,55,23
Blue,367,1,480,848,115,255,255,11,47,41,450
Red,387,56,346,789,77,253,255,96,81,53,299
Yellow,1073,7,51,1131,103,235,255,21,29,85,42
Green,783,0,98,881,97,233,209,40,50,25,98
Orange,657,141,37,835,86,255,255,92,49,58,37
None,0,0,0,0,-1,-1,-1,256,256,256,0
