Kolor,Correct-Color,Wrong-Color,Non-Color,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V
White,446,295,339,1080,168,98,255,90,4,117
Blue,449,0,391,840,114,255,255,101,101,116
Red,487,10,283,780,6,236,255,107,81,115
Yellow,650,0,430,1080,36,228,255,21,73,115
Green,263,0,577,840,92,181,232,70,49,117
Orange,549,60,171,780,20,228,255,256,63,119
None,0,0,0,0,-1,-1,-1,256,256,256
