Kolor,Correct-Color,Wrong-Color,Non-Color,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V
White,438,423,219,1080,174,231,255,0,0,16
Blue,795,0,45,840,123,255,255,100,50,12
Red,601,101,108,810,14,255,255,114,27,17
Yellow,789,26,235,1050,103,255,255,21,7,37
Green,753,19,68,840,101,255,236,30,20,14
Orange,613,114,23,750,21,255,255,123,32,35
None,0,30,0,30,28,187,124,25,150,105
