Kolor,Correct-Color,Wrong-Color,Non-Color,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V
White,436,382,172,990,174,231,255,90,4,37
Blue,649,0,41,690,117,255,255,100,65,25
Red,540,1,59,600,6,249,255,165,44,63
Yellow,576,21,423,1020,100,255,255,21,14,64
Green,680,6,4,690,96,232,236,50,35,45
Orange,563,124,3,690,21,255,255,125,34,67
None,0,525,195,720,179,255,150,0,0,12
