Kolor,Correct-Color,Wrong-Color,Non-Color,All,Highest_H,Highest_S,Highest_V,Lowest_H,Lowest_S,Lowest_V
White,914,0,166,1080,168,98,255,90,4,117
Blue,0,479,361,840,114,255,255,101,101,116
Red,0,568,212,780,6,236,255,107,81,115
Yellow,0,841,239,1080,36,228,255,21,73,115
Green,0,263,577,840,92,181,232,70,49,117
Orange,0,609,171,780,20,228,255,256,63,119
None,0,0,0,0,-1,-1,-1,256,256,256
