0,0,171,0,0,7,22
0,0,239,0,0,47,61
0,0,1,0,0,144,52
0,0,0,0,0,231,17
0,0,0,0,0,174,0
0,0,0,113,0,15,0
0,0,0,538,0,50,0
0,0,0,279,0,9,13
0,0,0,54,0,0,9
0,0,0,6,0,0,9
0,0,0,0,0,0,17
0,0,0,0,0,0,13
0,0,0,0,0,0,5
0,0,0,6,0,0,18
0,0,0,0,0,0,24
0,0,0,2,0,0,15
0,0,0,0,3,0,23
0,0,0,0,6,0,16
0,0,0,2,8,0,7
0,0,0,0,13,0,1
0,0,0,1,26,0,0
0,0,0,0,37,0,2
0,0,0,3,41,0,0
0,0,0,8,78,0,0
0,0,0,7,80,0,0
0,0,0,1,117,0,0
0,0,0,0,84,0,1
0,0,0,0,79,0,8
0,0,0,0,39,0,3
0,0,0,0,56,0,1
90,0,0,0,12,0,7
0,0,0,0,7,0,4
3,0,0,0,4,0,3
28,26,0,0,0,0,14
40,4,0,0,0,0,3
132,35,0,0,0,0,14
308,294,0,0,0,0,55
176,277,0,0,0,0,60
100,51,0,0,0,0,52
19,3,0,0,0,0,10
4,0,0,0,0,0,10
2,0,0,0,0,1,24
4,0,0,0,0,2,10
4,0,0,0,0,6,6
5,0,0,0,0,1,3
8,0,0,0,0,0,7
5,0,0,0,0,0,2
4,0,0,0,0,0,4
9,0,0,0,0,0,1
4,0,0,0,0,0,1
1,0,0,0,0,0,6
2,0,0,0,0,0,1
1,0,0,0,0,0,7
8,0,0,0,0,0,6
9,0,0,0,0,0,6
9,0,7,0,0,0,7
11,0,14,0,0,0,16
2,0,95,0,0,0,15
2,0,24,0,0,0,22
0,0,49,0,0,3,7
